"month","day","hour_no","average_no_rides"
2,"Wednesday",22,6
2,"Wednesday",23,3
2,"Thursday",0,1
2,"Thursday",1,2
2,"Thursday",2,2
2,"Thursday",3,1
2,"Thursday",4,1
2,"Thursday",5,4
2,"Thursday",6,10
2,"Thursday",7,34
2,"Thursday",8,64
2,"Thursday",9,23
2,"Thursday",10,13
2,"Thursday",11,9
2,"Thursday",12,10
2,"Thursday",13,10
2,"Thursday",14,8
2,"Thursday",15,9
2,"Thursday",16,13
2,"Thursday",17,27
2,"Thursday",18,38
2,"Thursday",19,22
2,"Thursday",20,19
2,"Thursday",21,10
2,"Thursday",22,9
2,"Thursday",23,5
2,"Friday",0,3
2,"Friday",1,2
2,"Friday",3,1
2,"Friday",4,2
2,"Friday",5,2
2,"Friday",6,7
2,"Friday",7,20
2,"Friday",8,43
2,"Friday",9,19
2,"Friday",10,9
2,"Friday",11,7
2,"Friday",12,9
2,"Friday",13,10
2,"Friday",14,10
2,"Friday",15,10
2,"Friday",16,17
2,"Friday",17,26
2,"Friday",18,27
2,"Friday",19,24
2,"Friday",20,14
2,"Friday",21,8
2,"Friday",22,9
2,"Friday",23,5
2,"Saturday",0,4
2,"Saturday",1,3
2,"Saturday",2,4
2,"Saturday",3,1
2,"Saturday",5,4
2,"Saturday",6,5
2,"Saturday",7,3
2,"Saturday",8,10
2,"Saturday",9,13
2,"Saturday",10,12
2,"Saturday",11,21
2,"Saturday",12,18
2,"Saturday",13,17
2,"Saturday",14,14
2,"Saturday",15,20
2,"Saturday",16,19
2,"Saturday",17,17
2,"Saturday",18,8
2,"Saturday",19,13
2,"Saturday",20,7
2,"Saturday",21,6
2,"Saturday",22,6
2,"Saturday",23,5
2,"Sunday",0,6
2,"Sunday",1,3
2,"Sunday",2,3
2,"Sunday",3,2
2,"Sunday",4,2
2,"Sunday",5,2
2,"Sunday",6,3
2,"Sunday",7,6
2,"Sunday",8,7
2,"Sunday",9,11
2,"Sunday",10,15
2,"Sunday",11,24
2,"Sunday",12,21
2,"Sunday",13,25
2,"Sunday",14,26
2,"Sunday",15,22
2,"Sunday",16,19
2,"Sunday",17,21
2,"Sunday",18,14
2,"Sunday",19,10
2,"Sunday",20,6
2,"Sunday",21,7
2,"Sunday",22,6
2,"Sunday",23,3
3,"Monday",0,2
3,"Monday",1,2
3,"Monday",2,3
3,"Monday",3,1
3,"Monday",4,1
3,"Monday",5,4
3,"Monday",6,8
3,"Monday",7,22
3,"Monday",8,37
3,"Monday",9,17
3,"Monday",10,10
3,"Monday",11,6
3,"Monday",12,9
3,"Monday",13,9
3,"Monday",14,10
3,"Monday",15,14
3,"Monday",16,18
3,"Monday",17,39
3,"Monday",18,51
3,"Monday",19,34
3,"Monday",20,22
3,"Monday",21,14
3,"Monday",22,9
3,"Monday",23,5
3,"Tuesday",0,3
3,"Tuesday",1,2
3,"Tuesday",2,1
3,"Tuesday",3,1
3,"Tuesday",4,1
3,"Tuesday",5,7
3,"Tuesday",6,15
3,"Tuesday",7,38
3,"Tuesday",8,75
3,"Tuesday",9,30
3,"Tuesday",10,18
3,"Tuesday",11,10
3,"Tuesday",12,12
3,"Tuesday",13,12
3,"Tuesday",14,14
3,"Tuesday",15,14
3,"Tuesday",16,22
3,"Tuesday",17,42
3,"Tuesday",18,60
3,"Tuesday",19,43
3,"Tuesday",20,25
3,"Tuesday",21,21
3,"Tuesday",22,11
3,"Tuesday",23,6
3,"Wednesday",0,4
3,"Wednesday",1,1
3,"Wednesday",2,3
3,"Wednesday",3,1
3,"Wednesday",4,1
3,"Wednesday",5,6
3,"Wednesday",6,16
3,"Wednesday",7,42
3,"Wednesday",8,73
3,"Wednesday",9,36
3,"Wednesday",10,17
3,"Wednesday",11,13
3,"Wednesday",12,16
3,"Wednesday",13,15
3,"Wednesday",14,17
3,"Wednesday",15,20
3,"Wednesday",16,24
3,"Wednesday",17,46
3,"Wednesday",18,61
3,"Wednesday",19,38
3,"Wednesday",20,32
3,"Wednesday",21,18
3,"Wednesday",22,16
3,"Wednesday",23,8
3,"Thursday",0,3
3,"Thursday",1,2
3,"Thursday",2,1
3,"Thursday",3,1
3,"Thursday",4,1
3,"Thursday",5,7
3,"Thursday",6,16
3,"Thursday",7,45
3,"Thursday",8,73
3,"Thursday",9,35
3,"Thursday",10,22
3,"Thursday",11,15
3,"Thursday",12,18
3,"Thursday",13,15
3,"Thursday",14,17
3,"Thursday",15,20
3,"Thursday",16,25
3,"Thursday",17,43
3,"Thursday",18,61
3,"Thursday",19,40
3,"Thursday",20,33
3,"Thursday",21,22
3,"Thursday",22,13
3,"Thursday",23,9
3,"Friday",0,3
3,"Friday",1,3
3,"Friday",2,2
3,"Friday",3,2
3,"Friday",4,1
3,"Friday",5,5
3,"Friday",6,10
3,"Friday",7,26
3,"Friday",8,62
3,"Friday",9,30
3,"Friday",10,19
3,"Friday",11,9
3,"Friday",12,11
3,"Friday",13,16
3,"Friday",14,17
3,"Friday",15,21
3,"Friday",16,32
3,"Friday",17,40
3,"Friday",18,49
3,"Friday",19,33
3,"Friday",20,23
3,"Friday",21,18
3,"Friday",22,11
3,"Friday",23,6
3,"Saturday",0,6
3,"Saturday",1,5
3,"Saturday",2,3
3,"Saturday",3,2
3,"Saturday",4,1
3,"Saturday",5,3
3,"Saturday",6,4
3,"Saturday",7,5
3,"Saturday",8,15
3,"Saturday",9,19
3,"Saturday",10,28
3,"Saturday",11,31
3,"Saturday",12,30
3,"Saturday",13,31
3,"Saturday",14,32
3,"Saturday",15,28
3,"Saturday",16,25
3,"Saturday",17,22
3,"Saturday",18,18
3,"Saturday",19,18
3,"Saturday",20,13
3,"Saturday",21,6
3,"Saturday",22,8
3,"Saturday",23,11
3,"Sunday",0,7
3,"Sunday",1,4
3,"Sunday",2,1
3,"Sunday",3,2
3,"Sunday",4,2
3,"Sunday",5,2
3,"Sunday",6,1
3,"Sunday",7,3
3,"Sunday",8,8
3,"Sunday",9,10
3,"Sunday",10,21
3,"Sunday",11,19
3,"Sunday",12,20
3,"Sunday",13,32
3,"Sunday",14,29
3,"Sunday",15,31
3,"Sunday",16,28
3,"Sunday",17,29
3,"Sunday",18,22
3,"Sunday",19,15
3,"Sunday",20,10
3,"Sunday",21,7
3,"Sunday",22,9
3,"Sunday",23,3
4,"Monday",0,3
4,"Monday",1,2
4,"Monday",2,3
4,"Monday",3,2
4,"Monday",4,2
4,"Monday",5,7
4,"Monday",6,19
4,"Monday",7,48
4,"Monday",8,76
4,"Monday",9,36
4,"Monday",10,20
4,"Monday",11,11
4,"Monday",12,14
4,"Monday",13,14
4,"Monday",14,16
4,"Monday",15,21
4,"Monday",16,24
4,"Monday",17,61
4,"Monday",18,63
4,"Monday",19,52
4,"Monday",20,28
4,"Monday",21,21
4,"Monday",22,11
4,"Monday",23,6
4,"Tuesday",0,3
4,"Tuesday",1,1
4,"Tuesday",2,1
4,"Tuesday",3,1
4,"Tuesday",4,2
4,"Tuesday",5,6
4,"Tuesday",6,22
4,"Tuesday",7,44
4,"Tuesday",8,78
4,"Tuesday",9,29
4,"Tuesday",10,16
4,"Tuesday",11,12
4,"Tuesday",12,15
4,"Tuesday",13,18
4,"Tuesday",14,13
4,"Tuesday",15,15
4,"Tuesday",16,27
4,"Tuesday",17,53
4,"Tuesday",18,74
4,"Tuesday",19,49
4,"Tuesday",20,31
4,"Tuesday",21,26
4,"Tuesday",22,12
4,"Tuesday",23,9
4,"Wednesday",0,5
4,"Wednesday",1,2
4,"Wednesday",2,3
4,"Wednesday",3,1
4,"Wednesday",4,2
4,"Wednesday",5,5
4,"Wednesday",6,22
4,"Wednesday",7,52
4,"Wednesday",8,97
4,"Wednesday",9,39
4,"Wednesday",10,20
4,"Wednesday",11,15
4,"Wednesday",12,20
4,"Wednesday",13,16
4,"Wednesday",14,19
4,"Wednesday",15,21
4,"Wednesday",16,32
4,"Wednesday",17,54
4,"Wednesday",18,68
4,"Wednesday",19,51
4,"Wednesday",20,33
4,"Wednesday",21,20
4,"Wednesday",22,16
4,"Wednesday",23,12
4,"Thursday",0,4
4,"Thursday",1,2
4,"Thursday",2,2
4,"Thursday",3,1
4,"Thursday",4,2
4,"Thursday",5,6
4,"Thursday",6,20
4,"Thursday",7,54
4,"Thursday",8,96
4,"Thursday",9,46
4,"Thursday",10,23
4,"Thursday",11,14
4,"Thursday",12,15
4,"Thursday",13,15
4,"Thursday",14,16
4,"Thursday",15,21
4,"Thursday",16,27
4,"Thursday",17,55
4,"Thursday",18,66
4,"Thursday",19,49
4,"Thursday",20,29
4,"Thursday",21,21
4,"Thursday",22,21
4,"Thursday",23,8
4,"Friday",0,5
4,"Friday",1,2
4,"Friday",2,3
4,"Friday",3,1
4,"Friday",4,1
4,"Friday",5,6
4,"Friday",6,17
4,"Friday",7,47
4,"Friday",8,88
4,"Friday",9,39
4,"Friday",10,22
4,"Friday",11,14
4,"Friday",12,17
4,"Friday",13,23
4,"Friday",14,17
4,"Friday",15,23
4,"Friday",16,34
4,"Friday",17,60
4,"Friday",18,59
4,"Friday",19,37
4,"Friday",20,29
4,"Friday",21,23
4,"Friday",22,15
4,"Friday",23,11
4,"Saturday",0,9
4,"Saturday",1,7
4,"Saturday",2,1
4,"Saturday",3,2
4,"Saturday",4,1
4,"Saturday",5,2
4,"Saturday",6,4
4,"Saturday",7,8
4,"Saturday",8,12
4,"Saturday",9,19
4,"Saturday",10,25
4,"Saturday",11,27
4,"Saturday",12,31
4,"Saturday",13,39
4,"Saturday",14,40
4,"Saturday",15,40
4,"Saturday",16,37
4,"Saturday",17,39
4,"Saturday",18,30
4,"Saturday",19,29
4,"Saturday",20,19
4,"Saturday",21,13
4,"Saturday",22,9
4,"Saturday",23,8
4,"Sunday",0,8
4,"Sunday",1,5
4,"Sunday",2,3
4,"Sunday",3,2
4,"Sunday",4,2
4,"Sunday",5,3
4,"Sunday",6,3
4,"Sunday",7,6
4,"Sunday",8,7
4,"Sunday",9,11
4,"Sunday",10,20
4,"Sunday",11,27
4,"Sunday",12,32
4,"Sunday",13,41
4,"Sunday",14,44
4,"Sunday",15,45
4,"Sunday",16,43
4,"Sunday",17,41
4,"Sunday",18,37
4,"Sunday",19,30
4,"Sunday",20,15
4,"Sunday",21,12
4,"Sunday",22,11
4,"Sunday",23,6
5,"Monday",0,5
5,"Monday",1,1
5,"Monday",2,3
5,"Monday",3,1
5,"Monday",4,1
5,"Monday",5,6
5,"Monday",6,16
5,"Monday",7,47
5,"Monday",8,88
5,"Monday",9,34
5,"Monday",10,17
5,"Monday",11,25
5,"Monday",12,27
5,"Monday",13,29
5,"Monday",14,29
5,"Monday",15,26
5,"Monday",16,39
5,"Monday",17,68
5,"Monday",18,72
5,"Monday",19,62
5,"Monday",20,38
5,"Monday",21,29
5,"Monday",22,18
5,"Monday",23,7
5,"Tuesday",0,6
5,"Tuesday",1,2
5,"Tuesday",2,2
5,"Tuesday",3,2
5,"Tuesday",4,1
5,"Tuesday",5,6
5,"Tuesday",6,17
5,"Tuesday",7,49
5,"Tuesday",8,88
5,"Tuesday",9,37
5,"Tuesday",10,23
5,"Tuesday",11,14
5,"Tuesday",12,19
5,"Tuesday",13,20
5,"Tuesday",14,17
5,"Tuesday",15,19
5,"Tuesday",16,33
5,"Tuesday",17,70
5,"Tuesday",18,81
5,"Tuesday",19,63
5,"Tuesday",20,44
5,"Tuesday",21,31
5,"Tuesday",22,17
5,"Tuesday",23,8
5,"Wednesday",0,7
5,"Wednesday",1,4
5,"Wednesday",2,1
5,"Wednesday",4,1
5,"Wednesday",5,5
5,"Wednesday",6,22
5,"Wednesday",7,62
5,"Wednesday",8,114
5,"Wednesday",9,46
5,"Wednesday",10,24
5,"Wednesday",11,19
5,"Wednesday",12,22
5,"Wednesday",13,26
5,"Wednesday",14,19
5,"Wednesday",15,21
5,"Wednesday",16,36
5,"Wednesday",17,69
5,"Wednesday",18,78
5,"Wednesday",19,61
5,"Wednesday",20,36
5,"Wednesday",21,26
5,"Wednesday",22,24
5,"Wednesday",23,10
5,"Thursday",0,6
5,"Thursday",1,3
5,"Thursday",2,2
5,"Thursday",3,1
5,"Thursday",4,2
5,"Thursday",5,8
5,"Thursday",6,20
5,"Thursday",7,65
5,"Thursday",8,114
5,"Thursday",9,41
5,"Thursday",10,30
5,"Thursday",11,18
5,"Thursday",12,26
5,"Thursday",13,26
5,"Thursday",14,21
5,"Thursday",15,26
5,"Thursday",16,28
5,"Thursday",17,73
5,"Thursday",18,83
5,"Thursday",19,58
5,"Thursday",20,43
5,"Thursday",21,35
5,"Thursday",22,24
5,"Thursday",23,14
5,"Friday",0,9
5,"Friday",1,4
5,"Friday",2,2
5,"Friday",3,1
5,"Friday",4,2
5,"Friday",5,6
5,"Friday",6,18
5,"Friday",7,52
5,"Friday",8,86
5,"Friday",9,40
5,"Friday",10,19
5,"Friday",11,16
5,"Friday",12,19
5,"Friday",13,25
5,"Friday",14,24
5,"Friday",15,23
5,"Friday",16,33
5,"Friday",17,49
5,"Friday",18,53
5,"Friday",19,38
5,"Friday",20,27
5,"Friday",21,17
5,"Friday",22,21
5,"Friday",23,13
5,"Saturday",0,11
5,"Saturday",1,6
5,"Saturday",2,4
5,"Saturday",3,5
5,"Saturday",4,3
5,"Saturday",5,4
5,"Saturday",6,6
5,"Saturday",7,12
5,"Saturday",8,20
5,"Saturday",9,24
5,"Saturday",10,33
5,"Saturday",11,48
5,"Saturday",12,46
5,"Saturday",13,44
5,"Saturday",14,47
5,"Saturday",15,45
5,"Saturday",16,31
5,"Saturday",17,36
5,"Saturday",18,31
5,"Saturday",19,18
5,"Saturday",20,14
5,"Saturday",21,11
5,"Saturday",22,14
5,"Saturday",23,8
5,"Sunday",0,8
5,"Sunday",1,5
5,"Sunday",2,2
5,"Sunday",3,2
5,"Sunday",4,2
5,"Sunday",5,3
5,"Sunday",6,3
5,"Sunday",7,8
5,"Sunday",8,11
5,"Sunday",9,20
5,"Sunday",10,23
5,"Sunday",11,32
5,"Sunday",12,32
5,"Sunday",13,32
5,"Sunday",14,39
5,"Sunday",15,41
5,"Sunday",16,37
5,"Sunday",17,40
5,"Sunday",18,31
5,"Sunday",19,26
5,"Sunday",20,21
5,"Sunday",21,22
5,"Sunday",22,12
5,"Sunday",23,8
6,"Monday",0,7
6,"Monday",1,3
6,"Monday",2,3
6,"Monday",3,3
6,"Monday",4,2
6,"Monday",5,8
6,"Monday",6,28
6,"Monday",7,67
6,"Monday",8,102
6,"Monday",9,53
6,"Monday",10,24
6,"Monday",11,23
6,"Monday",12,27
6,"Monday",13,29
6,"Monday",14,20
6,"Monday",15,25
6,"Monday",16,38
6,"Monday",17,93
6,"Monday",18,105
6,"Monday",19,74
6,"Monday",20,49
6,"Monday",21,31
6,"Monday",22,19
6,"Monday",23,12
6,"Tuesday",0,6
6,"Tuesday",1,3
6,"Tuesday",2,2
6,"Tuesday",3,1
6,"Tuesday",4,2
6,"Tuesday",5,11
6,"Tuesday",6,28
6,"Tuesday",7,69
6,"Tuesday",8,117
6,"Tuesday",9,48
6,"Tuesday",10,29
6,"Tuesday",11,20
6,"Tuesday",12,25
6,"Tuesday",13,30
6,"Tuesday",14,23
6,"Tuesday",15,23
6,"Tuesday",16,38
6,"Tuesday",17,87
6,"Tuesday",18,106
6,"Tuesday",19,77
6,"Tuesday",20,54
6,"Tuesday",21,35
6,"Tuesday",22,21
6,"Tuesday",23,12
6,"Wednesday",0,6
6,"Wednesday",1,3
6,"Wednesday",2,2
6,"Wednesday",3,3
6,"Wednesday",4,1
6,"Wednesday",5,7
6,"Wednesday",6,30
6,"Wednesday",7,76
6,"Wednesday",8,115
6,"Wednesday",9,54
6,"Wednesday",10,21
6,"Wednesday",11,24
6,"Wednesday",12,26
6,"Wednesday",13,24
6,"Wednesday",14,20
6,"Wednesday",15,23
6,"Wednesday",16,38
6,"Wednesday",17,82
6,"Wednesday",18,102
6,"Wednesday",19,74
6,"Wednesday",20,62
6,"Wednesday",21,33
6,"Wednesday",22,25
6,"Wednesday",23,13
6,"Thursday",0,7
6,"Thursday",1,2
6,"Thursday",2,4
6,"Thursday",3,2
6,"Thursday",4,3
6,"Thursday",5,7
6,"Thursday",6,22
6,"Thursday",7,61
6,"Thursday",8,99
6,"Thursday",9,52
6,"Thursday",10,25
6,"Thursday",11,23
6,"Thursday",12,32
6,"Thursday",13,29
6,"Thursday",14,29
6,"Thursday",15,27
6,"Thursday",16,39
6,"Thursday",17,83
6,"Thursday",18,85
6,"Thursday",19,74
6,"Thursday",20,59
6,"Thursday",21,38
6,"Thursday",22,25
6,"Thursday",23,15
6,"Friday",0,8
6,"Friday",1,6
6,"Friday",2,3
6,"Friday",3,2
6,"Friday",4,2
6,"Friday",5,7
6,"Friday",6,23
6,"Friday",7,68
6,"Friday",8,91
6,"Friday",9,46
6,"Friday",10,27
6,"Friday",11,32
6,"Friday",12,34
6,"Friday",13,33
6,"Friday",14,34
6,"Friday",15,33
6,"Friday",16,45
6,"Friday",17,81
6,"Friday",18,71
6,"Friday",19,53
6,"Friday",20,51
6,"Friday",21,32
6,"Friday",22,32
6,"Friday",23,19
6,"Saturday",0,11
6,"Saturday",1,7
6,"Saturday",2,5
6,"Saturday",3,2
6,"Saturday",4,3
6,"Saturday",5,2
6,"Saturday",6,9
6,"Saturday",7,18
6,"Saturday",8,22
6,"Saturday",9,36
6,"Saturday",10,47
6,"Saturday",11,47
6,"Saturday",12,53
6,"Saturday",13,54
6,"Saturday",14,47
6,"Saturday",15,44
6,"Saturday",16,38
6,"Saturday",17,41
6,"Saturday",18,44
6,"Saturday",19,41
6,"Saturday",20,38
6,"Saturday",21,25
6,"Saturday",22,25
6,"Saturday",23,21
6,"Sunday",0,15
6,"Sunday",1,8
6,"Sunday",2,6
6,"Sunday",3,3
6,"Sunday",4,4
6,"Sunday",5,4
6,"Sunday",6,6
6,"Sunday",7,11
6,"Sunday",8,19
6,"Sunday",9,27
6,"Sunday",10,42
6,"Sunday",11,41
6,"Sunday",12,43
6,"Sunday",13,53
6,"Sunday",14,53
6,"Sunday",15,48
6,"Sunday",16,43
6,"Sunday",17,47
6,"Sunday",18,47
6,"Sunday",19,45
6,"Sunday",20,37
6,"Sunday",21,25
6,"Sunday",22,16
6,"Sunday",23,15
7,"Monday",0,10
7,"Monday",1,7
7,"Monday",2,7
7,"Monday",3,3
7,"Monday",4,2
7,"Monday",5,8
7,"Monday",6,22
7,"Monday",7,57
7,"Monday",8,85
7,"Monday",9,41
7,"Monday",10,33
7,"Monday",11,31
7,"Monday",12,35
7,"Monday",13,37
7,"Monday",14,36
7,"Monday",15,35
7,"Monday",16,35
7,"Monday",17,54
7,"Monday",18,73
7,"Monday",19,60
7,"Monday",20,37
7,"Monday",21,28
7,"Monday",22,17
7,"Monday",23,9
7,"Tuesday",0,6
7,"Tuesday",1,2
7,"Tuesday",2,4
7,"Tuesday",3,1
7,"Tuesday",4,3
7,"Tuesday",5,10
7,"Tuesday",6,28
7,"Tuesday",7,73
7,"Tuesday",8,115
7,"Tuesday",9,53
7,"Tuesday",10,27
7,"Tuesday",11,17
7,"Tuesday",12,26
7,"Tuesday",13,26
7,"Tuesday",14,22
7,"Tuesday",15,28
7,"Tuesday",16,41
7,"Tuesday",17,90
7,"Tuesday",18,108
7,"Tuesday",19,85
7,"Tuesday",20,67
7,"Tuesday",21,46
7,"Tuesday",22,25
7,"Tuesday",23,13
7,"Wednesday",0,10
7,"Wednesday",1,3
7,"Wednesday",2,4
7,"Wednesday",3,2
7,"Wednesday",4,1
7,"Wednesday",5,9
7,"Wednesday",6,33
7,"Wednesday",7,79
7,"Wednesday",8,123
7,"Wednesday",9,53
7,"Wednesday",10,30
7,"Wednesday",11,23
7,"Wednesday",12,27
7,"Wednesday",13,24
7,"Wednesday",14,29
7,"Wednesday",15,25
7,"Wednesday",16,36
7,"Wednesday",17,89
7,"Wednesday",18,101
7,"Wednesday",19,84
7,"Wednesday",20,72
7,"Wednesday",21,41
7,"Wednesday",22,26
7,"Wednesday",23,15
7,"Thursday",0,9
7,"Thursday",1,5
7,"Thursday",2,3
7,"Thursday",3,2
7,"Thursday",4,4
7,"Thursday",5,10
7,"Thursday",6,32
7,"Thursday",7,78
7,"Thursday",8,124
7,"Thursday",9,56
7,"Thursday",10,29
7,"Thursday",11,19
7,"Thursday",12,19
7,"Thursday",13,24
7,"Thursday",14,27
7,"Thursday",15,29
7,"Thursday",16,37
7,"Thursday",17,79
7,"Thursday",18,99
7,"Thursday",19,77
7,"Thursday",20,56
7,"Thursday",21,42
7,"Thursday",22,30
7,"Thursday",23,16
7,"Friday",0,6
7,"Friday",1,6
7,"Friday",2,5
7,"Friday",3,2
7,"Friday",4,1
7,"Friday",5,7
7,"Friday",6,25
7,"Friday",7,54
7,"Friday",8,93
7,"Friday",9,45
7,"Friday",10,31
7,"Friday",11,25
7,"Friday",12,31
7,"Friday",13,39
7,"Friday",14,28
7,"Friday",15,38
7,"Friday",16,47
7,"Friday",17,78
7,"Friday",18,57
7,"Friday",19,58
7,"Friday",20,47
7,"Friday",21,31
7,"Friday",22,28
7,"Friday",23,20
7,"Saturday",0,12
7,"Saturday",1,7
7,"Saturday",2,5
7,"Saturday",3,2
7,"Saturday",4,3
7,"Saturday",5,3
7,"Saturday",6,7
7,"Saturday",7,18
7,"Saturday",8,29
7,"Saturday",9,33
7,"Saturday",10,39
7,"Saturday",11,49
7,"Saturday",12,50
7,"Saturday",13,46
7,"Saturday",14,43
7,"Saturday",15,37
7,"Saturday",16,30
7,"Saturday",17,34
7,"Saturday",18,32
7,"Saturday",19,33
7,"Saturday",20,31
7,"Saturday",21,24
7,"Saturday",22,20
7,"Saturday",23,15
7,"Sunday",0,12
7,"Sunday",1,7
7,"Sunday",2,5
7,"Sunday",3,4
7,"Sunday",4,2
7,"Sunday",5,2
7,"Sunday",6,4
7,"Sunday",7,12
7,"Sunday",8,21
7,"Sunday",9,30
7,"Sunday",10,40
7,"Sunday",11,42
7,"Sunday",12,46
7,"Sunday",13,47
7,"Sunday",14,53
7,"Sunday",15,46
7,"Sunday",16,56
7,"Sunday",17,46
7,"Sunday",18,52
7,"Sunday",19,52
7,"Sunday",20,41
7,"Sunday",21,30
7,"Sunday",22,20
